States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
West Bengal,42.5,25,33.33,72,115.33,106.67,108,103.33,43.5,48.33,195.25,161.67,129.5,145.5,171.5,126.67,54.17,270.83,17.67,25.33,26,52.83,2022-10-03
Andaman and Nicobar,46,40,65,85,127.33,138.33,123.33,116,51.67,67.67,224.5,224.67,204,,206,144,71.67,305,20.33,51,43.33,77.67,2022-10-04
Andhra Pradesh,54,41,43.5,71,116.25,122,107.75,106,41,56.25,173.75,193.75,138.5,170,158.25,107.25,55.25,340.25,20,36,27,40.5,2022-10-04
Arunachal pradesh,29.5,40,44,85,120,125,125,117.5,50,70,,150,160,150,220,,,,15,35,40,50,2022-10-04
Assam,31,29,35,63,105,81,90,80,42,65,210,168,159,145,165,135,44,200,11,29,30,50,2022-10-04
Bihar,38.36,27.46,33.18,67.46,109.32,107,102.86,87.68,42.64,51.3,201.23,164.93,139.82,148.86,188.56,125.86,46.71,279.5,20.82,20.61,21.32,44.29,2022-10-04
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,26,29,48,2022-10-04
Chhattisgarh,33.2,27.6,33,72.8,97.8,97.8,99.6,87.8,39.8,56.4,190,178.4,144.6,148.2,175,143.8,44,311,21.2,26,25.4,43.2,2022-10-04
Delhi,32,25,30,72,113,127,103,93,41,52,205,178,152,150,192,114,57,224,26,30,25,53,2022-10-04
DNH and DD,38.5,29,33.5,71.5,114,114.5,101.5,109,38,56,193.5,180,169,163,180.5,118.5,53,234.5,25,20.5,27,28,2022-10-04
Goa,39,39,38,78,123,117,115,105,41,52,205,182,192,172,175,105,55,307,23,37,27,42,2022-10-04
Gujarat,36,30.33,33.17,70.5,105.33,100.33,98.17,91.5,39.5,56.67,184.5,173.33,154,158.5,173,136.83,47,312.33,12.4,24.83,22.33,38.2,2022-10-04
Haryana,33.5,23.75,29.25,69.75,105.75,97,97,95.5,42.75,57,187,168.75,154,152.5,178.25,134.67,44.5,252.5,24.5,26.5,21.5,38.25,2022-10-04
Himachal Pradesh,33.73,21,31.27,67.91,112.55,105.73,96.45,92.27,42.27,49.2,196.25,171.55,148.27,142,171.25,127.75,43.18,249.6,25.73,31.45,28.18,47.27,2022-10-04
Jharkhand,33.8,26,31.4,73.6,109.2,101.2,99.6,93.6,43.8,52,226.5,174,133.5,169,202,140,46.6,319.75,20.2,27.2,27.6,46.6,2022-10-04
Karnataka,48.6,37,43.8,71.3,112.8,109.7,99.5,100.2,41,44.6,183.7,187.7,129.1,151,158.3,111.44,50.2,302.4,18.8,32.1,25.6,35.6,2022-10-04
Madhya Pradesh,33.55,26.55,32,67.73,101.82,93.55,93.64,90.91,41.36,57.82,179,165.55,144.09,140.36,170.27,118.43,42.91,264.27,18.82,26.09,19.18,38.27,2022-10-04
Maharashtra,40.62,33.46,39.08,68.23,114.62,107.92,102.54,96.31,40.31,53.85,182.62,178,145.77,134.46,162.54,118.3,49.54,268.38,21.46,29.54,23.08,31.08,2022-10-04
Manipur,41,34,34,75,105,120,100,93,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-04
Meghalaya,26.6,37.4,34.8,79.33,108.25,118,110.5,93,44.8,68,,155.4,140,148.4,200,135,76.25,366,24.2,34.6,39.8,52.6,2022-10-04
Mizoram,47.4,40,44,97.5,120,130,110,108,49.4,74.4,,202.67,210,147,220,137,100,200,26.8,38.25,52.5,70.25,2022-10-04
Nagaland,30.5,37.5,37.5,106.67,120,107.5,120,100,50,66.5,,191.25,220,180,200,,60,375,16.67,33.75,42.5,73.75,2022-10-04
Odisha,31.86,34.43,35.43,67.43,109.57,95.29,95.71,85.57,43.57,48,180,166.71,113.29,162,158.14,104.57,48.86,232.33,24.14,25.29,22.86,41.57,2022-10-04
Punjab,37.5,24.25,28,74.75,121,116.25,108.5,106,42,54.25,210.67,172.75,152.5,156.25,196.5,107,53,303.5,25,25.5,25,43,2022-10-04
Rajasthan,36.86,29.71,32.29,76.29,111.29,105.29,97.43,93.86,42.29,48,193.57,174.14,148.5,166.67,191.8,154.67,46.71,271.71,20.43,26,25.29,43.57,2022-10-04
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,40,30,55,2022-10-04
Tamil Nadu,50.22,39.44,47.56,74.56,120.11,123.56,105.44,99.78,40,41.67,207.56,209.13,140.11,,162.44,106.11,53.67,269.63,24.11,38.44,26.44,37,2022-10-04
Telangana,41.83,34.67,40,69.67,106.17,110,101.33,94.17,40.33,58,172.5,187.83,144.17,174.33,172.33,127.83,53.83,289.33,17.83,24.83,26.17,42.33,2022-10-04
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,54,179,10,30,30,58,2022-10-04
Uttar Pradesh,33.7,26.11,31.26,71.33,107.52,104.52,99.26,93,41.32,57.32,188.27,161.81,143.5,146.81,171.12,123.36,48,286.16,24.32,22.64,22.12,43,2022-10-04
Uttarakhand,34.5,28,33.5,106,114.5,110.5,110.5,103.5,43,64,175,173.5,166.5,167,173,144,44,294,26,20,22,35,2022-10-04
West Bengal,41.5,23.33,32.5,73.5,116,108.75,109.75,106.5,43.5,47.75,188.33,164.25,127,151.25,172,137.5,52.25,284.75,17.75,23.75,25.25,51.75,2022-10-04
Andhra Pradesh,52.5,40.5,46,72,115.5,119,109.5,98.5,42,59,176,174.5,127.5,,154.5,101,53.5,272,19.5,31.5,25.5,37.5,2022-10-05
Arunachal pradesh,35,40,38,90,120,130,130,125,50,66,,150,153,190,175,138,80,220,18,35,40,40,2022-10-05
Assam,31,29,35,63,105,81,90,80,42,65,210,168,159,145,165,135,44,200,11,29,30,50,2022-10-05
Bihar,37.84,27.2,33.04,67.16,108.76,106.64,100.92,87.92,42.75,51.21,201.2,165.13,141.46,149.88,186.87,128,47,276.08,20.79,20.79,21.67,43.88,2022-10-05
Chandigarh,38,24,28,78,113,111,112,90,42,57,178,178,175,167,170,145,48,229,23,28,28,49,2022-10-05
Chhattisgarh,32.75,26.25,32.25,74.25,98.5,98.5,100.5,88.5,39.5,57.5,190.5,176,146.25,147,174.25,146.5,43.5,321.25,21.25,26,25.75,42.75,2022-10-05
Delhi,32,25,30,72,113,127,103,93,41,52,205,178,152,150,192,114,57,224,26,30,25,53,2022-10-05
Gujarat,37.75,31.75,34,73.75,106.75,102.5,101.75,94.25,40.5,57,181.75,173,154,161.25,177,140,45.75,346.25,12.75,23,24.5,34.67,2022-10-05
Haryana,30,24.5,28,66,107.5,92,94,86,42,56,202.5,166,163.5,153.5,194,133.5,44,250,25.5,24.5,18,31,2022-10-05
Himachal Pradesh,33.63,,29.75,68.38,112.13,105.25,95.13,90.25,42.88,49.88,189.5,173,147.88,143.43,171.5,129,43.5,239.38,25.88,31.13,28.5,47.38,2022-10-05
Jharkhand,34,26,30.5,69.5,112,102,100,92.5,42.25,52.67,226.5,174,133.5,169,202,140,46.25,339.67,21.5,21.25,21.75,44.25,2022-10-05
Karnataka,49.2,36.6,43.6,72.3,114.4,110.9,100.7,101.4,41.4,44.5,187.3,190.6,133.5,159.7,159.8,112.4,52.3,315.8,18.2,32.1,25.7,35.6,2022-10-05
Madhya Pradesh,33.55,26.55,32,67.73,101.73,93.55,93.64,90.91,41.36,57.82,179.1,165.9,146.7,141.4,169.6,118.83,42.91,264.18,18.82,26.09,18.91,38.64,2022-10-05
Maharashtra,40.77,33.46,39,68.08,114.62,107.85,102.54,96.31,40.5,52.83,182.69,178.08,146,135.38,162.62,118.3,49.67,267.25,21.25,29.62,22.85,31.23,2022-10-05
Manipur,41,34,34,75,105,120,100,93,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-05
Meghalaya,26.6,37.4,34.8,79.33,108.25,118,110.5,93,44.8,68,,155.4,140,148.4,200,135,76.25,366,24.2,34.6,39.8,52.6,2022-10-05
Mizoram,47.33,,45,,,,,113.33,49.5,76,,225,200,146.5,,,100,208.5,27,39,53.5,72,2022-10-05
Odisha,29.6,34,34.4,66.2,110,94.4,94.8,85.8,44.2,48.4,180,164.2,117.4,163,158.2,103.8,48.2,228.8,24,25.8,22,41.2,2022-10-05
Puducherry,34,40,35,75,120,122,98,95,42,44,,,,,,,53,330,25,40,25,40,2022-10-05
Punjab,37.75,24.25,28,74.75,121,116.25,108.5,106,42,54.25,210.67,172.75,152.5,156.25,196.5,97,53,303.5,25.25,25.5,25,43.75,2022-10-05
Rajasthan,37.4,30.4,33,81.4,110.4,106.6,100,98.4,42.2,50.4,190.4,173.8,153,169.4,195.67,152,46.8,270,21.6,27.8,25.8,43,2022-10-05
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,43,30,60,2022-10-05
Tamil Nadu,50.22,39.44,47.44,74.33,120,123.44,105.22,99.78,40.11,41.67,207.67,209.25,140.22,,162.56,106.44,53.67,269.63,24.11,38.78,26.78,37.89,2022-10-05
Telangana,40.5,34,39.5,67.5,107.5,111.5,102,96,37.5,54,163,175,135,172,152.5,111,51.5,282,18,30,23,32.5,2022-10-05
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-05
Uttar Pradesh,33.26,25.52,31.04,72.43,108.3,104.39,98.35,92.96,41.17,57.35,186.3,162.65,145.26,148.39,173.17,126.96,46.57,269.87,24.61,22.39,21.78,42.04,2022-10-05
Uttarakhand,30,27,31,70,105,110,105,95,45,61,196,171,177,168,192,,41,280,27,28,29,40,2022-10-05
West Bengal,43.2,25,33,71.8,114.4,106.6,108.8,104.2,43.2,47.8,195,162.4,127.6,146,170.6,130.4,52.2,273.8,17,24.6,25.2,52.4,2022-10-05
Andaman and Nicobar,45.67,40,64.67,84.33,126.33,138.67,122,114.33,51.67,67.67,224.5,224.67,204,149.73,167.58,119.23,51.34,280.22,21.19,28.2,27.28,45.97,2022-10-06
Andhra Pradesh,54,40.75,43.5,71.25,116.25,122.25,107.25,106,41.25,56.25,173.75,193.75,136.5,220,248,177,120,580,30,55,60,85,2022-10-06
Arunachal pradesh,31,40,40,86.75,121.75,118.25,118.25,105,49.33,68.67,,166.67,176.67,119,140,85,33,123,10,12,12,17,2022-10-06
Assam,30,27,34,67,110,91.33,96,85.67,43,67,227.5,173.67,161.33,145,183,105,44,240,25,27.5,30,40,2022-10-06
Bihar,37.56,27.14,33.06,68.14,108.33,105.36,101.28,87.11,42.86,51.33,199.77,164.58,138.79,,205.33,140,71.67,305,20.33,51,43.33,77.67,
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,170,156.5,107.75,56,340.25,20.25,36,28.25,40.5,2022-10-06
Chhattisgarh,32.5,28.83,33.83,72.17,99.67,98.17,99,87,40.17,56.17,190.17,176.67,140,158.33,222.5,,69.5,313,20.67,30.75,35,58.75,2022-10-06
Delhi,32,25,30,72,113,127,103,94,41,52,205,176,152,154,182,142.5,49.67,193.33,11.67,29.67,31,45,2022-10-06
DNH and DD,38.33,30,33.5,72.67,110.67,116.67,104,103.33,38.33,51.5,198.67,188.33,167.5,149.67,188.88,125.22,47.08,291.94,21.08,20.94,21.67,46.97,2022-10-06
Goa,42,39,38,78,123,117,115,105,41,52,195,182,185,168,170,145,48,229,23,28,28,49,2022-10-06
Gujarat,35.43,31,33.71,70.43,109,101.71,97.29,92.86,40.43,56.43,187.14,177.29,157.29,147,173.67,139.17,44.83,301,19.67,26.17,24.67,42.17,2022-10-06
Haryana,34.75,24.5,31,71,106.75,99,100,98,42,57,188,166.25,154.25,154,190,112,56,224,26,30,26,55,2022-10-06
Himachal Pradesh,33.2,,30.9,67.9,112.6,107.1,96.6,91.6,42.6,49.11,185.33,173,146.3,164,193.67,125.67,50.33,234,24.67,20.67,25.5,25,2022-10-06
Jammu and Kashmir,38.5,28.25,38.5,79.75,119.75,116.5,111.25,104,49.25,51.25,250,193.25,169.75,156,165,105,55,307,23,39,33,49,2022-10-06
