States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Andhra Pradesh,51.4,40.4,42.4,71,123.4,117.8,113.6,101.8,41.2,58.2,178.4,201.8,118.6,175,129.8,106.2,57.2,322,21.2,30.4,22,25.4,2023-06-01
Arunachal pradesh,33.5,42,39.25,84.5,124.25,119.25,116.75,101.75,51,71,,160,153.33,152.67,212.5,,70,314,21,22,34.67,46.67,2023-06-01
Assam,37.54,32.9,36.15,74.62,118.85,103.18,109.31,91.65,44.35,69.12,194.25,151.35,140.14,146.64,160.05,115.88,56.04,254.08,13.35,19.08,24.92,30.57,2023-06-01
Bihar,35.94,25.22,32.11,68.22,119.42,107.92,103.72,78.14,42.58,54.17,194.47,139.47,126.89,135.86,176.57,114.77,45.06,272.58,21.72,16.44,19.11,21.5,2023-06-01
Chandigarh,39,28,34,73,113,108,105,92,42,58,190,173,135,145,178,120,50,270,25,17,25,28,2023-06-01
Chhattisgarh,33.29,31,33.86,71,114.43,98.86,104.86,89.14,40.57,56,190.29,157.43,128,135.29,152.14,123.29,45.43,289.57,21.57,19.86,21.57,19.14,2023-06-01
Delhi,39,28,30,72,138,123,113,90,41,53,220,133,133,125,156,106,53,243,26,22,26,21,2023-06-01
DNH and DD,39,32.33,35,77.33,120.33,120,109.67,103,40.67,56,201.67,164.33,155,155.5,183.33,123,52.33,251,22.67,23,22.5,10,2023-06-01
Goa,42.5,43,41,75.5,137.5,116.5,123.5,95,41,57.5,209,168.5,146.5,156,136.5,105,55,315.5,23.5,32,22.5,25,2023-06-01
Gujarat,37.5,32.17,35,77.67,115.5,104,102.83,97.33,40.5,57.67,186.83,158,149.67,155,159.5,128.17,49.33,322.17,13.33,23.17,21.67,27,2023-06-01
Haryana,38.75,25.5,32.5,65,106.25,98.75,98,90.75,41.75,58.75,191.25,143,137,131.75,167.5,112.5,43.75,235.5,25.25,13.75,19,19.75,2023-06-01
Himachal Pradesh,35.08,21,31.17,70.83,121.58,109.92,107.67,89.08,44.08,52.67,210.5,162.75,142.08,135,157.4,121,45.08,263,27.5,22.08,25.17,29.25,2023-06-01
Jammu and Kashmir,36.67,30,40.67,86.67,120.67,118.33,118.33,99,51.67,47.67,253,167.67,154.67,151.33,176.67,131,49,314.67,26.67,23.67,26.67,27.67,2023-06-01
Jharkhand,35.58,30,33.95,71.68,119,103.74,105,81.84,43,56.67,185.31,147.17,125.61,142.44,158.53,114.35,45.18,284.13,24.24,16.17,18.33,22.06,2023-06-01
Karnataka,50.61,40.84,44.58,80.81,127.45,119.52,115.03,99.45,40.35,45.68,182.35,178.03,125.52,144.5,133.13,103.48,49.29,299.16,18.71,27.1,20.9,19.45,2023-06-01
Kerala,49.43,43.57,46.69,93.86,142.5,133.21,130.57,107.71,41.93,53.79,228.67,205,161.23,,128.69,104.25,61.29,236.79,14.43,31.77,23,38.08,2023-06-01
Madhya Pradesh,35.18,26.31,32.03,70.67,123.79,101.08,103.79,87.38,41.18,56.92,187.76,143.42,122.84,118.84,151.68,117.21,43.84,261.21,19.26,17.79,15.23,16.79,2023-06-01
Maharashtra,44.5,36.39,42.17,72.17,130.78,113.33,115.39,96.28,41.06,56.67,185.78,173,129.06,115.28,135.72,105.93,50.72,290.83,23.39,23.67,17.44,19.22,2023-06-01
Meghalaya,31.9,38.1,37.6,79.5,117.38,121.33,113.67,92.9,45.9,71.9,143,140.1,142.25,147.2,177.8,139.6,75,361.3,23.2,24,32,39.78,2023-06-01
Mizoram,45.55,40.67,43.2,97.13,115.4,114,117.43,104.6,49.91,74.18,174.67,196.33,174.75,153.36,177.33,130.67,99.57,195.11,28,35.18,48.18,62.44,2023-06-01
Nagaland,36.08,39,43.67,101.8,118.5,113.88,119,101,50,69.5,195,170.91,201.67,175.73,181.25,151.67,79,314,18.27,31.36,44.55,54,2023-06-01
Odisha,33.44,35.76,39.08,70.28,125.96,104.08,103.16,78.83,42.44,51.88,176.57,145.96,123.78,141.56,125,100.88,47.68,291.89,25.48,17.96,19.04,23.32,2023-06-01
Puducherry,41,40,34,85,145,125,123,95,38,45,206,169,150,,119,104,46,387,23,25,23,8,2023-06-01
Punjab,35.2,24.4,27.9,74.1,123.4,109.3,105.2,93.8,41.6,58,195.7,127.5,128.8,128.4,162.6,105.38,45.8,268.3,26.2,16.56,21.89,23,2023-06-01
Rajasthan,38.26,29.16,32.35,70.35,109.84,103.94,100.1,89.94,40.74,51.38,185.8,156.5,128.34,145.3,167.25,132.5,42.29,301.87,19.94,19.13,20.71,22.06,2023-06-01
Sikkim,52.75,35.75,41.75,80.5,125.75,126.75,116.5,99.75,48.25,61.5,,181.5,137.75,159.33,190,,59,432.5,18.75,28.25,32.5,33.75,2023-06-01
Tamil Nadu,51.77,42.71,50.18,75.27,139.82,125.77,115.36,92.14,40.76,44.29,212.95,195.8,126.33,,119.9,97.57,52.9,293.31,24.48,30.86,23.33,33.57,2023-06-01
Telangana,45.5,37.2,40.8,68.8,110.1,110.2,104.4,90.6,39.9,62.3,169.9,180.1,122.2,155.33,149.9,111.8,54.3,298.7,18,26.8,25,27.7,2023-06-01
Tripura,34.25,,37,73.5,115.67,112,103.25,109.75,44.25,69.75,,149.5,126,142.5,179.5,113.25,61,212,10.5,23.25,26,41.25,2023-06-01
Uttar Pradesh,35.48,24.97,31.01,71.47,118.88,109.04,105.79,92.4,41.41,61.28,190.52,147.52,132.63,140.45,163.82,115.14,45.2,245.19,26.2,16.25,20.07,19.28,2023-06-01
Uttarakhand,34.25,26,32.5,80.75,115.25,103.25,109.25,100.75,41.5,62,164.5,148,150.75,146.5,158.5,115,48.75,262,28,15.5,20.5,19.25,2023-06-01
West Bengal,42.67,27.88,37.1,75.9,121.95,111.48,118.14,106.14,44.71,55.1,200.44,140.45,116.05,129.15,150.1,104.78,50.9,289.52,20.67,17.62,21.71,29.19,2023-06-01
Andaman and Nicobar,40.67,40,66.33,84.33,135,139.33,127,105.67,53,70.67,224.5,205.67,200.67,,179,131,75,308.33,20.33,41.67,42.67,66,2023-06-02
Andhra Pradesh,51.4,40.4,42.4,71,123.4,117.8,113.6,101.8,41.2,58.2,178.4,201.8,118.6,175,129.8,106.2,57.2,322,21.2,31,22,28.2,2023-06-02
Arunachal pradesh,37,42,40.67,86,125.67,119,119,102.33,51.5,72.5,,145,120,147.5,200,,70,328,16.5,20.5,34.5,40,2023-06-02
Assam,38.32,32,36.36,74.57,119.71,102.92,109.14,92.14,44.32,68.93,199,152.11,141.78,146.74,161.5,117.28,55.96,251.96,13.18,19.21,24.89,30,2023-06-02
Bihar,35.86,25.3,32.24,68.24,119.81,107.73,103.92,77.92,42.62,54.19,194.41,139.54,126.89,135.97,176.07,114.57,45.38,271.59,21.89,16.49,19.16,22.05,2023-06-02
Chandigarh,39,28,34,73,113,108,105,92,42,57,190,173,135,145,178,120,50,270,25,17,25,28,2023-06-02
Chhattisgarh,33.75,31.38,33.88,70.75,115.88,98,103.75,87.13,40.5,58.25,191.75,155.25,123,133,155.13,120.63,44.88,280.5,22.38,20.14,22.29,20.86,2023-06-02
Delhi,39,28,31,72,138,123,113,90,41,53,218,130,130,125,154,106,53,243,26,22,24,20,2023-06-02
DNH and DD,39,32.33,35,77.33,120.33,120,109.67,103,40.67,56,201.67,164.33,155,155.5,183.33,123,52.33,251,22.67,23,22.5,10,2023-06-02
Goa,42.5,43,41,75.5,137.5,116.5,123.5,95,41,57.5,209,168.5,146.5,156,136.5,105,55,316.5,23.5,32,22.5,25,2023-06-02
Gujarat,37.86,32.86,36,78.29,115.71,106.14,102.71,98.86,40.67,56.33,190,163.29,146.43,162.14,164.57,125.86,50.17,304.33,13.33,22.5,21.5,24.17,2023-06-02
Haryana,38.75,25.5,32.5,65,106.25,98.75,98.25,90.75,41.75,58.75,193.33,135.67,139.33,130,169,117,43.75,235.5,25.25,13.75,19,19.75,2023-06-02
Himachal Pradesh,35.08,21,31.17,71,122.08,110.08,107.92,88.75,44.08,52.67,210.5,162.17,142.33,133.7,156.2,120.5,45.08,262.42,27.5,22.67,25.08,29.42,2023-06-02
Jammu and Kashmir,38.25,29.25,40,84.25,120.75,118.5,116.25,99.25,50.75,51.75,253,168.75,154.25,154,175,139.33,48.25,312.5,25,23.5,25.75,26.75,2023-06-02
Jharkhand,35.72,29.82,33.89,71.78,120.06,103.72,105.22,81.5,43,56.43,183.25,146.24,124.18,141.76,157.81,115.13,45.31,285.6,23.88,16.18,18.29,22.18,2023-06-02
Karnataka,50.91,40.94,44.66,80.13,127.63,119.72,115.16,99.84,40.34,45.88,181.78,178.09,125.47,144.77,133.69,103.25,49.28,302.38,18.91,27.28,21.06,20.06,2023-06-02
Kerala,49.14,43.93,45.77,95.14,143.86,134.36,131.71,109.14,41.93,53.79,228.67,204.67,160.31,,127.92,103.58,61.14,235.64,14.5,32.08,23.08,39.62,2023-06-02
Madhya Pradesh,35.85,26.25,31.93,70.35,124.88,100.9,104,87.3,41.17,56.7,189.2,142.03,122.83,117.25,150.36,118.47,44.1,256.48,19.5,17.85,15.45,16.88,2023-06-02
Maharashtra,44.53,36.63,42.05,71.68,129.89,113.37,114.16,96.21,41,56.42,185.26,172,129.89,116.37,137.37,106.13,50.58,290.89,23.63,24,17.26,19,2023-06-02
Meghalaya,32.1,37.8,37.4,79.5,117.38,121.33,113.44,92.7,45.9,72,143,137.6,142,145,178.2,140,75,362,23.2,23.8,32,40.33,2023-06-02
Mizoram,45.55,40.67,43,97.13,115,114,117.43,104.6,49.91,74,176,196.22,173,153.27,176,129.33,99.57,195.33,28.18,35.18,48.18,62.44,2023-06-02
Nagaland,36.31,39,43.83,104.42,119,116.22,120.45,100.08,49.08,69.44,195,175,201.67,168,181.25,151.67,79.17,315.45,17.92,31.25,42.5,53.64,2023-06-02
Odisha,33.61,36.42,39.26,69.93,127.04,104.71,102.46,78.61,42.36,51.89,175.86,146.75,123.46,142.45,125.93,100.36,47.5,290.05,25.57,18.04,19.36,23.89,2023-06-02
Puducherry,41,40,34,85,145,125,123,95,,,206,169,150,,119,104,,,,25,23,9,2023-06-02
Punjab,35.38,24.75,27.63,71.88,123.25,110.38,106.13,94.75,42.14,56.43,193.5,132,129.25,128.38,159.38,102.5,47.86,268,26,16.25,22.38,22.88,2023-06-02
Rajasthan,38.19,29.59,32.74,70.93,109.89,104.15,100.93,91.04,41,51.75,186.35,159.12,127.44,147.15,166.59,137.8,42.35,301.04,20.08,19.81,20.46,22.31,2023-06-02
Sikkim,51.6,35.8,41.8,80.4,127.6,128.4,118.4,103.8,48.6,62.2,,184.8,136.8,163.25,192.6,,56.4,441.8,19,28.2,31,32.4,2023-06-02
Tamil Nadu,52.1,42.79,50.2,75.55,140.55,126.1,115.35,92.25,40.68,44.47,211.53,194.17,124.84,,119.37,97.05,53.17,295.07,24.21,30.95,23.11,32.11,2023-06-02
Telangana,46.11,38,39.78,68.11,110.11,108.56,103.78,90.11,40,62.89,169.67,180.22,121.56,155.33,146.22,108.44,54.22,299.44,18.44,28.22,26.11,28.56,2023-06-02
Tripura,34,,37.67,73.5,117.5,115.5,102,107,44.33,69,,151,136.5,141,189.33,112.67,66,226,10,23,25.67,45.67,2023-06-02
Uttar Pradesh,35.56,24.97,31,71.47,119.13,109,105.67,92.39,41.39,61.21,190.47,147.64,132.85,140.41,163.59,115.22,45.15,245.7,26.2,16.37,19.9,19.48,2023-06-02
Uttarakhand,33.67,26.33,32,81.33,116.33,102.33,111.33,104.33,41,60,167,145.33,149,142,158,115,49,250,28,16.33,20.67,19,2023-06-02
West Bengal,43,29.1,36.95,73.82,122.77,111.67,118.64,105.36,44.83,55.3,201.45,141.59,116.73,128.5,150.77,105.7,51.3,284.91,21.35,18.04,21.91,29.39,2023-06-02
Andaman and Nicobar,40.67,40,66.33,84.33,135.33,139.33,127,105.67,53,70.67,224.5,205.67,200.67,,179,131,75,308.33,20.33,41.67,42.67,66,2023-06-03
Andhra Pradesh,51.4,40.4,42.4,71,124.2,117.8,113.6,101.8,41.2,58.2,178.4,201.8,118.6,175,129.8,106.2,57.2,322,21.2,31,22,29.6,2023-06-03
Arunachal pradesh,31.67,42,38.33,86.67,126.67,123.33,116.67,100,52.5,70,,160,170,151.5,212.5,,70,300,22.5,23.5,36.5,50,2023-06-03
Assam,38.56,32.55,36.59,74.67,120,102.91,109,92.56,44.33,68.81,199,150.74,140.91,145.73,163.87,115.88,56.52,253.96,13.26,19,24.7,29.96,2023-06-03
Bihar,36.03,25.33,32.11,68.08,119.56,107.64,103.81,77.89,42.61,54.17,194.53,139.86,127.17,135.61,175.56,113.55,45.56,271.11,21.72,16.51,19.29,22.31,2023-06-03
Chandigarh,39,28,34,73,113,108,105,92,42,57,190,173,135,145,178,120,50,270,25,17,25,28,2023-06-03
Chhattisgarh,38,33.86,37.14,71.43,117.14,97.57,103.14,85.71,40.4,65.4,194.6,145.8,109,122.8,151.8,112.8,46,306.8,26.4,20.25,24,24.5,2023-06-03
Delhi,39,28,31,72,138,123,113,90,41,53,218,130,130,125,156,106,53,243,26,22,24,20,2023-06-03
DNH and DD,42,40,42,77,133,129,119,102,42,60,199,161,150,143,147,110,70,317,25,23,22,10,2023-06-03
Gujarat,37.71,32.71,35.57,77.57,114.29,105.86,101.29,98.57,40.57,56.71,189,162.14,145.71,161.86,164.29,124.86,49.43,317.57,14,22.86,21.14,25.57,2023-06-03
Haryana,39,25.75,32.75,65.25,106.5,99,98.5,91,42,59.33,191.5,143.25,137.25,132,167.75,113,43.33,235,24.33,14.33,19,19.67,2023-06-03
Himachal Pradesh,35.08,21,31.17,71,122.08,110.08,107.92,88.75,44.08,52.67,210.5,162.17,142.33,133.7,156.2,120.5,45.08,262.42,27.5,23.18,25.18,30.27,2023-06-03
Jammu and Kashmir,38.25,29.25,40,84.25,120.75,118.5,116.25,99.25,50.75,51.75,253,168.75,154.25,154,175,139.33,48.25,312.5,25,23.25,25.75,25.75,2023-06-03
Jharkhand,35.89,29.59,33.89,71.78,119.83,102.78,104.22,81.94,43.13,56.93,188.92,147.12,125.88,143.29,160.13,114.63,45.69,285.8,24.38,16.18,18.41,22.76,2023-06-03
Karnataka,50.94,41.03,44.84,79.74,128.19,120.48,115.23,99.84,40.35,46.26,181.84,178.35,124.13,144.57,133.23,102.77,49.35,303.42,19.13,27.45,21.03,20.35,2023-06-03
Kerala,49.36,43.64,47.21,95.21,144.07,135.5,131.79,109.43,41.86,53.79,225.57,205.4,160.21,,128.14,104.54,60.71,234.71,14.36,32,23.07,40.36,2023-06-03
Madhya Pradesh,35.38,26.32,32.03,70.51,124.38,100.78,103.92,87.14,41.19,56.97,190.41,142.46,123.31,118.16,150.56,117.11,43.86,256.46,18.51,17.51,14.97,17,2023-06-03
Maharashtra,44.58,36.63,42.05,71.63,130.42,113.42,114.16,95.89,41.11,56.47,185.32,171.89,129.84,116.11,137.26,106.19,50.63,291.16,23.58,24,17.32,19.26,2023-06-03
Meghalaya,32.38,38,37.75,79,117.71,121.33,111.71,91.75,45.25,71.75,143,132,135.33,139.71,179.75,132,75,362.13,23.13,22.88,31.63,38.63,2023-06-03
Mizoram,46.67,40,46.67,99,137,,130,104.33,50,76.67,150,182.5,220,143.67,,,125,136.67,28.33,40.67,55.33,72.33,2023-06-03
Nagaland,36.46,39,44.08,104,118.5,115.89,120,98.92,49.38,70.7,195,170,201.43,166.92,185,151.67,79.17,318.75,18.08,30.77,43.46,52.08,2023-06-03
Odisha,33.64,36.42,39.22,70,127.82,104.79,102.43,78.64,42.36,51.96,175.86,146.82,123.5,142.64,125.96,100.29,47.54,290.67,25.57,18.07,19.32,24.11,2023-06-03
Punjab,33.83,25.33,28.83,70.67,125,110.67,108.33,92.33,41.4,58.8,196.17,129,128.83,126.33,160.17,100.75,47.2,263,25.4,17,21,20.8,2023-06-03
Rajasthan,37.4,28.7,32.8,68.8,108.7,103.9,101.7,90.9,41.2,52.9,179.2,158.5,127.89,143.7,166,111,43.8,305.8,20.9,18.5,17.9,21.2,2023-06-03
Sikkim,52,36.4,42.2,80.6,127,129,118,104.4,48.6,62.2,,184.8,136.6,160,192.4,,56.4,415.5,18.6,28.2,31,32.4,2023-06-03
Tamil Nadu,50.63,42.73,50.25,75.06,141.25,125.75,114.13,93.44,40.47,43.47,211.93,191.29,124.4,,119.6,97.4,52.13,276.75,23.47,29.6,23,31.8,2023-06-03
Telangana,45.7,37.7,41.2,69.2,110.7,110.6,104.6,90.6,39.9,61.33,170.3,179,121.9,155.5,149.5,110.67,54.9,298.7,18.1,27,25.1,28.4,2023-06-03
Tripura,34,,37.67,73.5,117.5,114.5,102,107,44.33,69,,150.67,136.5,140.67,189.33,112.67,66,226,10,23.33,26.33,45.67,2023-06-03
Uttar Pradesh,35.45,24.92,30.97,71.36,119.95,109.23,105.73,92.07,41.45,61.36,190.49,147.52,132.73,140.14,163.38,115.39,45.51,244.9,26.18,16.4,20.04,19.4,2023-06-03
Uttarakhand,34,25.75,32.5,81.75,114.25,102.75,109.75,100.25,41.5,62,164.5,148.25,151,146.5,158.75,115,48.5,261.75,28,15.75,20.25,19.75,2023-06-03
West Bengal,42.53,28.83,37.65,75.59,120.88,110.44,120.94,107.59,45.24,55.94,207.22,142,118.65,130.24,151.76,105.12,50.65,278.18,21.71,17.65,21.82,28.88,2023-06-03
Andaman and Nicobar,44,40,67,80,129,130,118,94,52,73,,194,220,,154,123,69,325,20,40,40,63,2023-06-04
Andhra Pradesh,54.25,40.5,42.5,72.5,130.25,119.75,114.5,102.25,42.75,57.75,177.5,187.75,118.25,150,129.75,102.75,58,352.5,21.5,28.75,22.75,31.75,2023-06-04
Arunachal pradesh,23,,35,80,120,120,110,100,50,68,,190,220,160,225,,70,300,30,27,37,60,2023-06-04
Assam,39.26,32.78,36.53,73.37,120.63,99.56,109.42,91,44.37,68.95,207,150.37,138.73,143.94,162.93,111.73,57.05,250.11,13.84,19.47,25,29.06,2023-06-04
Bihar,35.41,25,31.33,67.48,120.63,107.89,104.63,76.67,42.85,54.56,196.5,137.41,125.44,134.59,175.33,114.57,45.33,280.3,23.07,16.44,19.11,22.19,2023-06-04
Chandigarh,39,28,34,73,113,108,105,92,42,57,190,173,135,145,178,120,50,270,25,17,25,28,2023-06-04
Chhattisgarh,35.67,33.83,36,69,117.67,97.67,105,84.5,40.83,61.83,193.33,150.17,121.17,131,157.33,118.83,45.83,292.17,23.5,22,24,21.33,2023-06-04
Delhi,39,28,31,72,138,123,113,90,41,53,218,130,130,125,156,106,53,243,26,22,24,20,2023-06-04
Gujarat,39,32,35.75,79,118,107.25,107.75,101.25,40.75,57.25,185.25,160.5,151.75,154.75,162.75,132.25,47.25,343.25,12.5,24.25,22.25,28.75,2023-06-04
Haryana,34.33,25.33,31.67,63,103.33,96,94.33,84.67,41.33,56.67,193.33,141,134.33,128,166,104.67,43.67,224,24.33,13.33,17.67,18.67,2023-06-04
Himachal Pradesh,35.08,21,31.17,71,122.08,110.08,107.92,88.75,44.08,52.67,210.5,162.17,142.33,133.7,156.2,120.5,45.08,262.42,27.5,22.75,25.17,29.25,2023-06-04
Jammu and Kashmir,37,30.5,45,93.5,115,115,119,100,55,46.5,253,175,165.5,158.5,188.5,150,48.5,323.5,26,24.5,29,30.5,2023-06-04
Jharkhand,36.25,29.36,33.58,72.83,119.08,104.33,105.08,83.5,43,57,191,151.55,129.55,149.18,156.2,119,45.36,308.2,25.55,15.45,19.09,24.09,2023-06-04
Karnataka,51,40.92,44.77,79.46,129.69,121.69,115.15,99.12,40.38,46.27,181.69,176.88,120.46,143.04,131.96,101.42,49.31,299.65,19.27,26.96,20.62,20.77,2023-06-04
Madhya Pradesh,34.87,26.19,31.97,70.56,124.52,100.19,103.58,86.16,41.06,56.78,189.38,141.97,122.35,115.1,148.55,116.28,43.91,253.42,18.34,17.63,14.94,18.06,2023-06-04
Maharashtra,44.58,36.63,42.11,71.63,130.79,113.42,114.21,95.84,41.05,56.37,185.37,171.83,129.74,116,137.11,106.25,50.63,291,23.58,24,17.37,19.53,2023-06-04
Meghalaya,33.25,36.5,36,79,106.67,112.67,109,93,45.25,72,,128.5,131.5,132.25,174.5,135,70,327.5,25,22,32,36.5,2023-06-04
Mizoram,50,40,47.5,98,,,120,107.5,50,77.5,,190,220,141.5,,,125,138.5,27.5,45,56.5,75,2023-06-04
Odisha,32.86,37.7,39.15,68.86,129.86,106.29,100.93,77.93,42.77,53,153.5,142.64,123.54,127,121.93,100.07,49.92,288,25.93,18.07,18.79,25.43,2023-06-04
Puducherry,41,40,34,80,150,123,122,90,38,45,206,169,150,,119,104,46,387,23,25,23,9,2023-06-04
Punjab,36,24.8,28.8,78.2,122.8,112.6,110.6,94.4,41.6,56.6,187,135.6,134.6,132.4,158.4,110.33,47.8,267.2,27.2,15.4,22.4,24,2023-06-04
Rajasthan,36.57,28.29,32.71,70.29,110.71,107.86,105.29,94.29,41.71,52.43,183.57,155.57,132,146.86,171,,44.43,285.86,21.71,20.57,20.86,23.29,2023-06-04
Sikkim,59,34,40.5,80,127.5,132.5,114.5,99.5,47.5,61,,185,140.5,167,200,,58,381.5,19,31.5,37.5,37.5,2023-06-04
Tamil Nadu,50.93,41.92,50.36,75.14,140.93,125.43,113.79,94.29,40.62,41.85,212.15,193.33,125.15,,119.54,97,52.69,274.8,24.08,29.54,23,32,2023-06-04
Telangana,44.33,36,47.67,71,121.33,115.67,109,92.33,38.33,56.33,166.67,160.33,108,120,137.33,109.33,54.33,289.67,17.33,19,17,21.67,2023-06-04
Tripura,35,,34,70,125,118,110,110,45,70,,132,143,122,180,103,60,193,10,21,26,38,2023-06-04
Uttar Pradesh,35.98,25,30.86,71.61,121.39,109.79,106.04,91.75,41.47,61.61,191.49,146.14,132.4,139.11,163.23,115.58,45.58,244.09,26.19,16.67,19.93,19.67,2023-06-04
Uttarakhand,32,24,29,72,127,105,109,102,40,61,170,142,142,143,146,90,51,213,28,17,17,17,2023-06-04
West Bengal,42.75,28.83,37.58,73.33,121.33,112.09,119.17,109,46.08,56.83,207.11,142.25,117.42,131.92,153.67,105.58,52.5,281.92,21.75,17.17,21.33,29.58,2023-06-04
Andaman and Nicobar,40.67,40,66.33,84.33,136.67,139.33,127,105.67,53.33,70.67,224.5,205.67,200.67,,179,131,76,308.33,20.33,43.33,42.67,66,2023-06-05
Andhra Pradesh,51.6,40.4,42.4,71,125.2,117.8,113.6,101.8,41.2,58.2,177.8,201.8,118.6,175,129,104.8,57.2,322,21.2,31,22.2,28.4,2023-06-05
Arunachal pradesh,33.33,42,39,82.67,122.33,119,115.67,105.67,49,70.5,,175,170,159,225,,70,314,24,26.5,37,50,2023-06-05
Assam,38.65,32.7,36.54,74.69,120.58,102.86,108.85,92.31,44.2,69.8,197.6,149.84,139.52,144.12,162.77,112.67,56.64,255.32,13.4,19.08,24.6,30.36,2023-06-05
Bihar,35.81,25.16,32.03,68.19,120.68,107.81,104.35,77.78,42.68,54.35,197.25,139.05,126.86,135.81,176.39,114.73,45.68,270.19,22.43,16.65,19.32,22.62,2023-06-05
Chandigarh,39,28,34,73,113,108,105,92,42,57,190,173,135,145,178,120,50,270,25,17,25,28,2023-06-05
Chhattisgarh,33.88,31.38,33.88,70.75,117.5,98,103.75,87.13,40.5,58.25,191.13,154.88,122.75,133,154.63,121.5,44.75,279.38,22.25,19.88,21.63,19.75,2023-06-05
Delhi,39,28,31,72,138,123,113,92,41,53,222,134,130,128,152,106,53,243,26,22,24,20,2023-06-05
DNH and DD,39,32.33,35,77.33,120.33,120,109.67,103,40.67,56,201.67,164.33,155,155.5,183.33,123,52.33,251,22.67,23,22.5,10,2023-06-05
Goa,42.5,43,41,75.5,146.5,116.5,122,96.5,41,57.5,209,168.5,146.5,154.5,131.5,104,55,315.5,23.5,32,22.5,28.5,2023-06-05
Gujarat,38.17,33.33,36.5,77.67,114,107.33,102,99.33,40.67,57.17,189,156.83,140.83,159.67,161.5,120.67,50.5,322.83,14.17,22.33,20.33,24.67,2023-06-05
Haryana,39.5,25.5,32,64.25,109,98.25,97.75,90.75,41.75,58.75,189.25,140.75,136,132,167.25,111.75,43.5,235.5,25.5,13.75,18.75,19.75,2023-06-05
Himachal Pradesh,35.08,21,31.17,71,122.17,110.08,107.92,88.75,44.18,53.82,210.5,162.25,142.33,133.7,156.2,120.5,45.36,255.4,27.45,22.75,25.5,29.25,2023-06-05
Jammu and Kashmir,38.25,29.25,40,84.25,120.75,118.5,116.25,99.25,50.75,51.75,253,168.75,154.25,154,175,139.33,48.25,312.5,25,24,25.75,26.25,2023-06-05
Jharkhand,35.89,29.71,33.94,71.83,120.39,102.56,104.17,81.94,43.06,56.79,189,147.06,126.35,142.59,160,114.56,45.5,285.27,24.38,16.24,18.59,23.76,2023-06-05
Karnataka,51,41.03,44.81,79.58,129.06,121,115.23,99.77,40.26,46.29,182,178.27,124.7,145.24,133.33,102.53,49.35,303.48,19.13,27.52,21.06,21.42,2023-06-05
Kerala,49.14,43.57,47.14,95.07,143.86,135.57,131.43,109.5,41.86,53.79,225.57,205.1,160.07,,127.86,104.08,60.93,235.07,14.29,31.93,23.29,39.79,2023-06-05
Madhya Pradesh,36.02,26.78,32.2,70.93,126.63,101,104.66,87.56,41.15,57.13,190.39,142.32,122.59,116.71,149.93,117.79,44.52,257.13,19.85,18.05,15.43,18.32,2023-06-05
Maharashtra,44.32,36.74,42.05,71.68,131.74,113.74,114.32,96.05,40.95,56.37,185,171.22,129.95,115.32,135.95,105.69,50.74,291,23.53,23.89,17.32,20.11,2023-06-05
Meghalaya,32.7,38,37.8,79.17,118.63,122,113.78,93,45.8,71.9,143,136.7,142.75,143.67,177.8,139.6,75,361,23.1,22.8,30.9,39.33,2023-06-05
Mizoram,45.55,40.67,43.2,97.13,115.4,114,117.43,104.3,49.91,74.18,174.67,196.33,174.75,152.55,177.33,130.67,99.57,198.11,28,36.09,47.55,63.22,2023-06-05
Nagaland,39.46,40.5,46.75,100,119.09,118.67,120,98.92,49.69,69,195,161.25,202.86,166.67,185,151.67,81.67,315.42,18.31,27.92,45.38,48.33,2023-06-05
Odisha,33.44,36.63,39.15,70.19,129.85,104.56,102.85,78.44,42.44,51.93,175.86,145.22,122.56,142.27,124.74,99.93,47.7,288.81,25.52,17.93,19,25.89,2023-06-05
Puducherry,41,40,34,80,150,123,122,90,,,206,169,150,,119,104,,,,25,23,10,2023-06-05
Punjab,35.44,24.89,28,71.22,124.33,109.33,105.22,93.44,41.88,56.75,196.22,128.22,127,127.33,160.78,100.43,46.88,267.38,26,17,22.5,24,2023-06-05
Rajasthan,37.17,29.54,32.75,70.33,109.88,104.92,101.21,91.38,40.87,52.14,184.13,156.48,129.18,146.3,167.11,123,42.96,302.7,19.48,18.78,19.17,21.74,2023-06-05
Sikkim,54,37,43.25,81.25,127.5,128.25,118,101,48.25,61.5,,181.5,138.75,163,192.25,,59,432.5,18.75,29,32.5,33.75,2023-06-05
Tamil Nadu,51.57,42.65,50.52,75.67,142.67,126.86,115.57,91.9,40.86,44.19,212.05,195.4,127.29,,119.1,95.81,52.67,290.38,24.43,30.9,23.38,33.1,2023-06-05
Telangana,45.5,37.1,40.8,68.5,110.5,110.4,104.4,89.6,40,62.4,169,178.1,119.9,153,148.2,110.5,54.8,300.4,18.4,26.7,24.8,28.1,2023-06-05
Tripura,34.25,,37,73.5,116.33,113,104,109.75,44.25,69.75,,147.5,126,140.5,179.5,112,61,212,10.5,23,26,42.75,2023-06-05
